id_prov;prov;var1;var2;svar1;svar2;value;value_abs;covar
58;Neuquén;V__TOTHOG_01_PORC;V__02_01_PORC;Con un hogar PORC;Con personas presentes PORC;0.926;0.926;237.247
58;Neuquén;H__12_01_PORC;V__INCALSERV_01_PORC;A red publica (cloaca) PORC;Calidad de Servicios Basicos Satisfactorio PORC;0.981;0.981;1573.687
58;Neuquén;V__URP_01_PORC;V__URP_03_PORC;Area Urbano PORC;Area Rural disperso PORC;-0.875;0.875;-1424.920
58;Neuquén;H__ALGUNBI_02_PORC;H__ALGUNBI_01_PORC;Al menos un indicador NBI PORC;Sin NBI PORC;-0.891;0.891;-199.630
58;Neuquén;H__11_01_PORC;V__INCALCONS_03_PORC;Si tiene cadena y mochila en el baño PORC;Calidad constructiva Insuficiente PORC;-0.907;0.907;-471.411
58;Neuquén;H__11_01_PORC;H__11_02_PORC;Si tiene cadena y mochila en el baño PORC;No tiene cadena y mochila en el baño PORC;-0.903;0.903;-406.064
58;Neuquén;H__11_01_PORC;H__05_01_PORC;Si tiene cadena y mochila en el baño PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.926;0.926;639.310
58;Neuquén;H__11_01_PORC;H__19A_01_PORC;Si tiene cadena y mochila en el baño PORC;Con Heladera PORC;0.872;0.872;512.419
58;Neuquén;H__11_01_PORC;H__08_01_PORC;Si tiene cadena y mochila en el baño PORC;Por cañeria dentro de la vivienda PORC;0.965;0.965;615.382
58;Neuquén;P__12_02_PORC;P__09_02_PORC;No utiliza computadora PORC;Primario PORC;0.909;0.909;264.294
58;Neuquén;P__12_02_PORC;H__19B_02_PORC;No utiliza computadora PORC;Sin computadora PORC;0.921;0.921;435.458
58;Neuquén;P__12_02_PORC;H__19B_01_PORC;No utiliza computadora PORC;Con computadora PORC;-0.880;0.880;-414.926
58;Neuquén;H__09_01_PORC;V__URP_03_PORC;Red pública PORC;Area Rural disperso PORC;-0.884;0.884;-1199.432
58;Neuquén;V__TIPVV_01_PORC;V__TIPVV_02_PORC;Viviendas particulares PORC;Viviendas colectivas PORC;-1.000;1.000;-21.428
58;Neuquén;P__08_03_PORC;P__07_02_PORC;Nunca asistio PORC;No sabe leer y escribir PORC;0.905;0.905;19.366
58;Neuquén;V__INCALSERV_03_PORC;V__INCALCONS_03_PORC;Calidad de Servicios BasicosInsuficiente PORC;Calidad constructiva Insuficiente PORC;0.865;0.865;470.014
58;Neuquén;V__INCALCONS_03_PORC;H__11_01_PORC;Calidad constructiva Insuficiente PORC;Si tiene cadena y mochila en el baño PORC;-0.907;0.907;-471.411
58;Neuquén;V__INCALCONS_03_PORC;V__INCALSERV_03_PORC;Calidad constructiva Insuficiente PORC;Calidad de Servicios BasicosInsuficiente PORC;0.865;0.865;470.014
58;Neuquén;V__INCALCONS_03_PORC;H__11_02_PORC;Calidad constructiva Insuficiente PORC;No tiene cadena y mochila en el baño PORC;0.892;0.892;324.948
58;Neuquén;V__INCALCONS_03_PORC;H__05_01_PORC;Calidad constructiva Insuficiente PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;-0.875;0.875;-489.478
58;Neuquén;V__INCALCONS_03_PORC;H__08_01_PORC;Calidad constructiva Insuficiente PORC;Por cañeria dentro de la vivienda PORC;-0.877;0.877;-453.234
58;Neuquén;V__INCALCONS_03_PORC;V__INMAT_04_PORC;Calidad constructiva Insuficiente PORC;Calidad 4 PORC;0.860;0.860;189.011
58;Neuquén;V__INCALCONS_03_PORC;H__08_02_PORC;Calidad constructiva Insuficiente PORC;Fuera de la vivienda pero dentro del terreno PORC;0.856;0.856;280.315
58;Neuquén;H__19C_02_PORC;H__19C_01_PORC;Sin teléfono celular PORC;Con teléfono celular PORC;-0.935;0.935;-357.554
58;Neuquén;H__19C_01_PORC;H__19C_02_PORC;Con teléfono celular PORC;Sin teléfono celular PORC;-0.935;0.935;-357.554
58;Neuquén;P__09_02_PORC;P__12_02_PORC;Primario PORC;No utiliza computadora PORC;0.909;0.909;264.294
58;Neuquén;P__09_02_PORC;H__19B_02_PORC;Primario PORC;Sin computadora PORC;0.870;0.870;316.256
58;Neuquén;H__19D_02_PORC;H__19D_01_PORC;Sin teléfono de línea PORC;Con teléfono de línea PORC;-0.964;0.964;-666.713
58;Neuquén;H__19A_02_PORC;H__19A_01_PORC;Sin Heladera PORC;Con Heladera PORC;-0.952;0.952;-495.186
58;Neuquén;P__07_02_PORC;P__08_03_PORC;No sabe leer y escribir PORC;Nunca asistio PORC;0.905;0.905;19.366
58;Neuquén;H__07_02_PORC;H__07_01_PORC;Sin revestimiento interior o cielorraso del techo PORC;Con revestimiento interior o cielorraso del techo PORC;-0.910;0.910;-247.314
58;Neuquén;H__11_02_PORC;H__11_01_PORC;No tiene cadena y mochila en el baño PORC;Si tiene cadena y mochila en el baño PORC;-0.903;0.903;-406.064
58;Neuquén;H__11_02_PORC;V__INCALCONS_03_PORC;No tiene cadena y mochila en el baño PORC;Calidad constructiva Insuficiente PORC;0.892;0.892;324.948
58;Neuquén;H__11_02_PORC;H__08_01_PORC;No tiene cadena y mochila en el baño PORC;Por cañeria dentro de la vivienda PORC;-0.866;0.866;-387.237
58;Neuquén;V__02_01_PORC;V__TOTHOG_01_PORC;Con personas presentes PORC;Con un hogar PORC;0.926;0.926;237.247
58;Neuquén;H__05_01_PORC;H__11_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Si tiene cadena y mochila en el baño PORC;0.926;0.926;639.310
58;Neuquén;H__05_01_PORC;V__INCALCONS_03_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Calidad constructiva Insuficiente PORC;-0.875;0.875;-489.478
58;Neuquén;H__05_01_PORC;H__14_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Gas de red PORC;0.859;0.859;931.494
58;Neuquén;H__05_01_PORC;H__19B_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Con computadora PORC;0.878;0.878;580.608
58;Neuquén;H__05_01_PORC;P__12_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Si tiliza computadora PORC;0.862;0.862;475.055
58;Neuquén;H__05_01_PORC;H__05_02_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Cemento o ladrillo fijo PORC;-0.888;0.888;-502.551
58;Neuquén;H__05_01_PORC;V__INCALCONS_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Calidad constructiva Satisfactoria PORC;0.903;0.903;610.837
58;Neuquén;H__05_01_PORC;H__08_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Por cañeria dentro de la vivienda PORC;0.914;0.914;627.612
58;Neuquén;H__05_01_PORC;V__INMAT_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Calidad 1 PORC;0.898;0.898;580.389
58;Neuquén;H__14_04_PORC;H__14_01_PORC;Gas en garrafa PORC;Gas de red PORC;-0.870;0.870;-1029.553
58;Neuquén;H__13_01_PORC;H__10_01_PORC;De uso exclusivo del hogar PORC;HOGAR SI Tiene baño o letrina PORC;0.963;0.963;147.561
58;Neuquén;H__06_06_PORC;V__INMAT_04_PORC;Chapa de cartón PORC;Calidad 4 PORC;0.909;0.909;99.903
58;Neuquén;H__19B_02_PORC;P__12_02_PORC;Sin computadora PORC;No utiliza computadora PORC;0.921;0.921;435.458
58;Neuquén;H__19B_02_PORC;P__09_02_PORC;Sin computadora PORC;Primario PORC;0.870;0.870;316.256
58;Neuquén;H__19B_02_PORC;H__19B_01_PORC;Sin computadora PORC;Con computadora PORC;-0.957;0.957;-564.575
58;Neuquén;H__19B_02_PORC;P__12_01_PORC;Sin computadora PORC;Si tiliza computadora PORC;-0.893;0.893;-438.866
58;Neuquén;H__14_01_PORC;H__05_01_PORC;Gas de red PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.859;0.859;931.494
58;Neuquén;H__14_01_PORC;H__14_04_PORC;Gas de red PORC;Gas en garrafa PORC;-0.870;0.870;-1029.553
58;Neuquén;H__14_01_PORC;V__INCALCONS_01_PORC;Gas de red PORC;Calidad constructiva Satisfactoria PORC;0.865;0.865;852.788
58;Neuquén;H__14_01_PORC;V__INMAT_01_PORC;Gas de red PORC;Calidad 1 PORC;0.855;0.855;806.339
58;Neuquén;H__19B_01_PORC;P__12_02_PORC;Con computadora PORC;No utiliza computadora PORC;-0.880;0.880;-414.926
58;Neuquén;H__19B_01_PORC;H__05_01_PORC;Con computadora PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.878;0.878;580.608
58;Neuquén;H__19B_01_PORC;H__19B_02_PORC;Con computadora PORC;Sin computadora PORC;-0.957;0.957;-564.575
58;Neuquén;H__19B_01_PORC;P__12_01_PORC;Con computadora PORC;Si tiliza computadora PORC;0.947;0.947;464.250
58;Neuquén;P__12_01_PORC;H__05_01_PORC;Si tiliza computadora PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.862;0.862;475.055
58;Neuquén;P__12_01_PORC;H__19B_02_PORC;Si tiliza computadora PORC;Sin computadora PORC;-0.893;0.893;-438.866
58;Neuquén;P__12_01_PORC;H__19B_01_PORC;Si tiliza computadora PORC;Con computadora PORC;0.947;0.947;464.250
58;Neuquén;H__05_02_PORC;H__05_01_PORC;Cemento o ladrillo fijo PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;-0.888;0.888;-502.551
58;Neuquén;V__INCALSERV_01_PORC;H__12_01_PORC;Calidad de Servicios Basicos Satisfactorio PORC;A red publica (cloaca) PORC;0.981;0.981;1573.687
58;Neuquén;H__19A_01_PORC;H__11_01_PORC;Con Heladera PORC;Si tiene cadena y mochila en el baño PORC;0.872;0.872;512.419
58;Neuquén;H__19A_01_PORC;H__19A_02_PORC;Con Heladera PORC;Sin Heladera PORC;-0.952;0.952;-495.186
58;Neuquén;H__19A_01_PORC;H__08_01_PORC;Con Heladera PORC;Por cañeria dentro de la vivienda PORC;0.855;0.855;500.105
58;Neuquén;H__07_01_PORC;H__07_02_PORC;Con revestimiento interior o cielorraso del techo PORC;Sin revestimiento interior o cielorraso del techo PORC;-0.910;0.910;-247.314
58;Neuquén;V__URP_03_PORC;V__URP_01_PORC;Area Rural disperso PORC;Area Urbano PORC;-0.875;0.875;-1424.920
58;Neuquén;V__URP_03_PORC;H__09_01_PORC;Area Rural disperso PORC;Red pública PORC;-0.884;0.884;-1199.432
58;Neuquén;V__INCALCONS_01_PORC;H__05_01_PORC;Calidad constructiva Satisfactoria PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.903;0.903;610.837
58;Neuquén;V__INCALCONS_01_PORC;H__14_01_PORC;Calidad constructiva Satisfactoria PORC;Gas de red PORC;0.865;0.865;852.788
58;Neuquén;V__INCALCONS_01_PORC;V__INMAT_01_PORC;Calidad constructiva Satisfactoria PORC;Calidad 1 PORC;0.995;0.995;585.525
58;Neuquén;H__ALGUNBI_01_PORC;H__ALGUNBI_02_PORC;Sin NBI PORC;Al menos un indicador NBI PORC;-0.891;0.891;-199.630
58;Neuquén;H__19D_01_PORC;H__19D_02_PORC;Con teléfono de línea PORC;Sin teléfono de línea PORC;-0.964;0.964;-666.713
58;Neuquén;H__08_01_PORC;H__11_01_PORC;Por cañeria dentro de la vivienda PORC;Si tiene cadena y mochila en el baño PORC;0.965;0.965;615.382
