id_prov;prov;var1;var2;svar1;svar2;value;value_abs;covar
58;Neuquén;H__12_01_PORC;V__INCALSERV_03_PORC;A red publica (cloaca) PORC;Calidad de Servicios BasicosInsuficiente PORC;-0.824;0.824;-937.469
58;Neuquén;H__12_01_PORC;V__INCALSERV_01_PORC;A red publica (cloaca) PORC;Calidad de Servicios Basicos Satisfactorio PORC;0.981;0.981;1573.687
58;Neuquén;H__ALGUNBI_02_PORC;V__INCALCONS_03_PORC;Al menos un indicador NBI PORC;Calidad constructiva Insuficiente PORC;0.811;0.811;238.922
58;Neuquén;H__11_01_PORC;V__INCALCONS_03_PORC;Si tiene cadena y mochila en el baño PORC;Calidad constructiva Insuficiente PORC;-0.907;0.907;-471.411
58;Neuquén;H__11_01_PORC;V__INCALCONS_01_PORC;Si tiene cadena y mochila en el baño PORC;Calidad constructiva Satisfactoria PORC;0.849;0.849;533.217
58;Neuquén;H__11_01_PORC;V__INMAT_01_PORC;Si tiene cadena y mochila en el baño PORC;Calidad 1 PORC;0.832;0.832;499.675
58;Neuquén;P__12_02_PORC;H__19B_02_PORC;No utiliza computadora PORC;Sin computadora PORC;0.921;0.921;435.458
58;Neuquén;P__12_02_PORC;H__19B_01_PORC;No utiliza computadora PORC;Con computadora PORC;-0.880;0.880;-414.926
58;Neuquén;H__09_01_PORC;V__URP_03_PORC;Red pública PORC;Area Rural disperso PORC;-0.884;0.884;-1199.432
58;Neuquén;H__05_03_PORC;V__INMAT_04_PORC;Tierra o ladrillo suelto PORC;Calidad 4 PORC;0.818;0.818;89.965
58;Neuquén;V__INCALSERV_03_PORC;H__12_01_PORC;Calidad de Servicios BasicosInsuficiente PORC;A red publica (cloaca) PORC;-0.824;0.824;-937.469
58;Neuquén;V__INCALSERV_03_PORC;H__05_01_PORC;Calidad de Servicios BasicosInsuficiente PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;-0.811;0.811;-585.101
58;Neuquén;V__INCALSERV_03_PORC;H__14_01_PORC;Calidad de Servicios BasicosInsuficiente PORC;Gas de red PORC;-0.838;0.838;-881.943
58;Neuquén;V__INCALCONS_03_PORC;H__ALGUNBI_02_PORC;Calidad constructiva Insuficiente PORC;Al menos un indicador NBI PORC;0.811;0.811;238.922
58;Neuquén;V__INCALCONS_03_PORC;H__11_01_PORC;Calidad constructiva Insuficiente PORC;Si tiene cadena y mochila en el baño PORC;-0.907;0.907;-471.411
58;Neuquén;V__INCALCONS_03_PORC;H__11_02_PORC;Calidad constructiva Insuficiente PORC;No tiene cadena y mochila en el baño PORC;0.892;0.892;324.948
58;Neuquén;V__INCALCONS_03_PORC;H__05_01_PORC;Calidad constructiva Insuficiente PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;-0.875;0.875;-489.478
58;Neuquén;V__INCALCONS_03_PORC;H__05_02_PORC;Calidad constructiva Insuficiente PORC;Cemento o ladrillo fijo PORC;0.805;0.805;343.047
58;Neuquén;V__INCALCONS_03_PORC;H__08_01_PORC;Calidad constructiva Insuficiente PORC;Por cañeria dentro de la vivienda PORC;-0.877;0.877;-453.234
